x,y
554.8714,0.053586904
555.00824,0.059440974
555.14502,0.066421077
555.28186,0.07354793
555.4187,0.082654662
555.55554,0.093477741
555.69238,0.10430276
555.82922,0.11484177
555.96606,0.12626816
556.10291,0.14044972
556.23975,0.15463251
556.37659,0.16926625
556.51343,0.17923
556.65027,0.18996122
556.78711,0.20086589
556.92389,0.21082871
557.06073,0.22183347
557.19757,0.23283736
557.33441,0.24475165
557.47125,0.2548705
557.60809,0.26583138
557.74493,0.27663806
557.88177,0.28847083
558.01862,0.30918643
558.15546,0.32990324
558.2923,0.35090855
558.42914,0.37072569
558.56598,0.39218175
558.70282,0.41363838
558.8396,0.43654382
558.97644,0.45326892
559.11328,0.47028324
559.25012,0.48568681
559.38696,0.49603423
559.5238,0.5047974
559.66064,0.51356184
559.79749,0.52280581
559.93433,0.49682584
560.07117,0.46096653
560.20801,0.42457923
560.34485,0.38854387
560.48169,0.37427059
560.61853,0.35999715
560.75531,0.34726316
560.89215,0.33509842
561.02899,0.3279728
561.16583,0.32084844
561.30267,0.31044081
561.43951,0.29530531
561.57635,0.28082854
561.7132,0.26747474
561.85004,0.25553539
561.98688,0.24419411
562.12372,0.23285471
562.26056,0.21968292
562.3974,0.20736432
562.53418,0.19535813
562.67102,0.18478635
562.80786,0.18381621
562.9447,0.18376689
563.08154,0.18372014
563.21838,0.18618664
563.35522,0.18773687
563.49207,0.18929875
563.62891,0.19114701
563.76575,0.1897476
563.90259,0.18955272
564.03943,0.18935838
564.17627,0.19134121
564.31311,0.19452234
564.44989,0.19821528
564.58673,0.2019078
564.72357,0.20992136
564.86041,0.22261153
564.99725,0.23603359
565.13409,0.24843964
565.27094,0.25463632
565.40778,0.26299199
565.54462,0.27134684
565.68146,0.27377602
565.8183,0.26949313
565.95514,0.26459581
566.09198,0.26028538
566.22882,0.25525245
566.3656,0.25677529
566.50244,0.25829846
566.63928,0.25846118
566.77612,0.25050211
566.91296,0.24003924
567.0498,0.22957477
567.18665,0.22043271
567.32349,0.21250638
567.46033,0.20441045
567.59717,0.1962195
567.73401,0.18892916
567.87085,0.182538
568.00769,0.17614737
568.14447,0.17415258
568.28131,0.17758368
568.41815,0.18051678
568.55499,0.18355079
568.69183,0.19034877
568.82867,0.19476005
568.96552,0.19917117
569.10236,0.20469132
569.2392,0.21351601
569.37604,0.22361287
569.51288,0.23370749
569.64972,0.26265961
569.78656,0.29406989
569.9234,0.32482669
570.06018,0.34988326
570.19702,0.36040637
570.33386,0.37161186
570.4707,0.38281995
570.60754,0.37525028
570.74438,0.35994294
570.88123,0.34380785
571.01807,0.32872042
571.15491,0.32164708
571.29175,0.31398302
571.42859,0.3063181
571.56543,0.2998319
571.70227,0.29712713
571.83905,0.29378721
571.97589,0.29044828
572.11273,0.28718793
572.24957,0.28354117
572.38641,0.27883446
572.52325,0.27395394
572.6601,0.27639866
572.79694,0.28275168
572.93378,0.28910729
573.07062,0.2955603
573.20746,0.29373252
573.3443,0.28860962
573.48114,0.28258711
573.61798,0.27719122
573.75476,0.27067143
573.8916,0.26415333
574.02844,0.25655577
574.16528,0.24809836
574.30212,0.2377681
574.43896,0.22687569
574.57581,0.21935262
574.71265,0.21007034
574.84949,0.20078646
574.98633,0.19178542
575.12317,0.18889652
575.26001,0.18695977
575.39685,0.18502423
575.53369,0.18240871
575.67047,0.18146786
575.80731,0.18041575
575.94415,0.1789695
576.08099,0.17634061
576.21783,0.17305686
576.35468,0.16977568
576.49152,0.167667
576.62836,0.16448092
576.7652,0.15980265
576.90204,0.15507676
577.03888,0.15560195
577.17572,0.16150996
577.31256,0.16741638
577.44934,0.17318547
577.58618,0.17670707
577.72302,0.18168838
577.85986,0.18666878
577.9967,0.19300503
578.13354,0.19958997
578.27039,0.20616145
578.40723,0.21209477
578.54407,0.21530955
578.68091,0.21696447
578.81775,0.21861987
578.95459,0.22073244
579.09143,0.22532402
579.22827,0.23179153
579.36505,0.23811683
579.50189,0.24162154
579.63873,0.2442643
579.77557,0.24690825
579.91241,0.24739417
580.04926,0.25191733
580.1861,0.26092672
580.32294,0.26993662
580.45978,0.27952564
580.59662,0.29600552
580.73346,0.3126407
580.8703,0.32615706
581.00714,0.33242172
581.14398,0.33669564
